project.data_product_final.productid,project.data_product_final.total_quantity,project.data_product_final.total_amount,project.data_product_final.numberof_customers
58113,2,NULL,1
58129,5,141.0,2
58134,3,189.600006104,1
58153,3,359.760009766,1
58175,3,389.699981689,1
58186,14,1853.0,6
58187,1,NULL,1
58262,3,330.0,1
58462,5,495.0,2
58581,2,150.0,1
58604,2,NULL,1
58862,3,258.0,2
58867,9,495.0,4
58870,1,125.0,1
58902,1,NULL,1
58911,6,451.75,3
58915,1,NULL,1
58987,3,2676.0,1
59157,9,625.039978027,5
59162,2,NULL,1
59266,3,312.75,1
59322,11,191.25,5
59323,4,289.25,2
59343,3,NULL,2
59371,28,2700.4699707,14
59375,3,225.599990845,1
59444,4,NULL,2
59451,1,65.0,1
59547,2,178.0,1
59609,1,NULL,1
59614,2,NULL,1
59646,36,581.099975586,18
59693,3,292.5,1
59700,2,NULL,1
59712,2,NULL,1
59747,2,NULL,1
59767,2,90.0,1
59867,1,NULL,1
59963,2,NULL,1
60015,6,483.690002441,2
60133,7,159.25,5
60223,2,240.0,1
60285,3,108.0,1
60313,3,339.75,1
60321,1,135.0,1
60423,5,104.700004578,2
60549,1,36.0,1
60620,1,33.0,1
60622,8,159.899993896,4
60698,3,1785.0,1
60762,1,NULL,1
60789,3,447.75,1
60865,4,280.0,2
60868,3,110.0,2
60871,1,70.0,1
60872,10,618.719970703,4
60874,3,123.75,1
60880,5,315.0,2
60891,3,NULL,2
60934,3,178.5,1
60998,3,224.759994507,1
61005,3,195.0,2
61161,1,760.0,1
61321,2,60.0,1
61348,4,524.970031738,2
61354,1,125.0,1
61355,3,330.0,2
61407,3,299.700012207,1
61473,18,649.739990234,8
61486,2,NULL,1
61520,1,NULL,1
61566,4,150.0,3
61591,1,120.0,1
61604,3,292.5,1
61702,3,540.0,1
61705,4,357.75,2
61712,1,NULL,1
61714,1,55.0,1
61755,1,NULL,1
61805,2,NULL,2
61808,3,2129.54980469,1
61863,1,NULL,1
61883,3,360.0,1
61911,12,777.0,5
61928,4,198.0,2
61940,3,210.0,2
61943,4,295.5,2
61946,12,2061.0,6
61954,8,178.5,4
61985,4,NULL,1
62011,3,202.259994507,1
62055,2,NULL,1
62056,2,NULL,1
62187,3,267.0,1
62371,8,599.940002441,2
62378,3,135.600006104,1
62463,3,393.75,1
62475,10,756.959960938,4
62489,4,216.0,2
62518,1,92.0,1
62616,2,NULL,1
62636,1,NULL,1
62637,4,278.0,2
62644,2,NULL,1
62671,2,NULL,1
62694,2,258.0,1
62695,3,326.25,1
62696,2,2253.0,2
62701,2,NULL,1
62703,10,1229.9699707,4
62707,2,350.0,1
62710,2,NULL,1
62719,1,93.0,1
62728,1,164.0,1
62729,2,198.0,1
62734,1,NULL,1
62736,1,NULL,1
62809,8,1424.0,4
62811,3,270.0,1
62913,2,88.0,1
62951,2,NULL,1
62964,1,85.0,1
62970,1,NULL,1
62971,3,NULL,2
62986,2,300.0,1
63046,4,54.0,2
63051,2,NULL,1
63227,2,NULL,1
63589,10,1342.5,4
63594,2,NULL,1
63742,4,520.0,2
63794,1,130.0,1
63808,40,2357.5,20
63811,2,380.0,1
63814,5,2298.0,3
63823,8,975.0,3
63838,3,360.0,1
63844,8,3103.5,3
63887,3,123.75,1
64129,2,390.0,1
64170,18,5348.0,10
64193,2,298.0,1
64200,7,624.0,2
64210,3,327.0,2
64239,3,132.75,1
64270,2,NULL,1
64282,1,NULL,1
64320,3,225.0,1
64498,8,65.0400009155,4
64517,2,62.0,1
64543,8,603.75,4
64555,2,150.0,1
64556,5,455.0,3
64571,3,96.9900054932,1
64639,2,90.0,1
64645,1,NULL,1
64712,2,NULL,1
64769,1,NULL,1
64772,2,NULL,1
64779,3,NULL,2
64782,4,NULL,2
64786,3,NULL,2
64802,8,397.220001221,4
64830,3,247.470001221,1
64986,2,NULL,1
65005,5,200.0,4
65127,2,390.0,1
65137,8,420.0,4
65139,22,655.25,11
65192,2,NULL,1
65204,1,NULL,1
65319,4,113.700004578,2
65336,2,NULL,1
65338,1,NULL,1
65343,3,393.0,1
65344,1,NULL,1
65378,2,150.0,1
65398,1,NULL,1
65467,21,1406.69995117,9
65527,1,75.0,1
65701,2,NULL,1
65715,126,9339.94042969,51
65969,3,66.0,1
66059,3,149.970001221,1
66225,4,202.5,2
66226,1,75.0,1
66228,3,NULL,2
66229,2,1516.0,1
66266,2,1532.0,1
66341,2,180.0,1
66351,24,6025.97021484,12
66559,3,189.240005493,1
66660,2,160.0,1
66688,10,238.970001221,6
66792,2,598.0,1
66822,1,28.0,1
67505,1,NULL,1
67600,1,NULL,1
67634,5,213.75,2
67654,14,1125.0,6
67832,3,NULL,2
67888,5,1014.0,3
67892,3,293.099975586,1
67893,3,240.0,2
67999,1,169.0,1
68060,5,202.470001221,2
68140,1,89.0,1
68156,2,85.0,2
68175,1,99.0,1
68258,4,NULL,2
68322,1,59.0,1
68388,3,345.0,1
68448,1,55.0,1
68583,1,95.0,1
68589,3,247.5,1
68673,1,21.0,1
68853,2,158.0,1
69071,1,56.0,1
69392,2,NULL,1
69418,2,110.0,1
69810,2,NULL,1
70066,3,220.589996338,1
70119,1,55.0,1
70184,2,720.0,2
70396,3,245.25,1
70405,6,2326.0,3
70409,2,129.0,2
70642,4,134.700012207,2
70828,2,NULL,1
70897,1,60.0,1
70952,3,972.539978027,1
70996,6,450.0,1
71033,1,NULL,1
71034,3,NULL,2
71039,1,NULL,1
71088,4,171.720001221,2
71314,2,NULL,1
71328,3,84.0,1
71358,3,233.339996338,1
71502,2,NULL,1
71797,2,298.0,1
71802,3,447.0,1
71843,3,144.0,1
71865,1,89.0,1
72179,2,NULL,1
72316,3,269.970001221,1
72321,3,239.970001221,1
72348,1,269.0,1
72373,1,NULL,1
72396,3,239.970001221,1
72405,2,90.0,1
72621,6,303.75,3
72707,4,179.970001221,2
72805,4,NULL,1
72911,5,222.75,3
73339,1,60.0,1
73340,38,6201.75,16
73555,1,69.0,1
73618,3,222.75,1
73622,12,707.549987793,5
73630,5,180.0,2
73676,4,NULL,1
73700,1,NULL,1
73707,2,180.0,1
73814,2,NULL,1
73826,10,675.0,4
73827,2,NULL,1
73872,3,379.5,1
73886,1,110.0,1
73887,1,75.0,1
74079,3,89.6999969482,1
74091,4,74.6999969482,2
74108,3,87.0,1
74136,1,595.0,1
74298,4,NULL,3
74299,1,NULL,1
74302,1,NULL,1
74339,8,91.0,4
74341,1,NULL,1
74342,2,50.0,1
74344,6,60.0,3
74350,26,954.0,11
74355,3,240.0,1
74376,3,1137.0,1
74399,4,200.25,2
74425,3,340.0,2
74431,28,8667.0,15
74460,4,455.0,2
74597,2,158.0,1
74795,1,66.0,1
74826,9,341.339996338,6
74864,2,NULL,1
75123,2,NULL,1
75131,3,157.259994507,1
75161,5,138.0,2
75162,8,112.470001221,3
75203,11,179.970001221,6
75216,3,177.75,1
75317,2,140.0,1
75353,4,NULL,1
75436,5,NULL,4
75469,3,2028.0,1
75556,3,22.5,1
75890,5,524.970031738,2
75892,4,90.0,2
75949,1,NULL,1
75953,2,340.0,1
75986,1,NULL,1
76223,3,270.0,1
76267,1,NULL,1
76287,2,210.0,1
76317,1,NULL,1
76322,3,112.470001221,1
76327,5,270.0,2
76353,2,NULL,1
76370,2,NULL,1
76391,2,130.0,1
76392,3,315.0,1
76423,2,NULL,1
76929,3,540.0,1
76954,3,252.0,1
76960,2,150.0,1
76976,3,290.0,2
76988,2,222.0,1
76995,3,210.0,1
77000,3,234.0,2
77011,2,185.0,2
77012,12,555.0,6
77013,1,NULL,1
77016,22,2569.5,12
77018,2,156.0,1
77026,1,NULL,1
77027,3,259.0,2
77050,42,1483.5,18
77051,5,855.0,3
77106,4,42.0,2
77107,5,140.0,3
77256,3,255.0,1
77285,1,NULL,1
77418,1,140.0,1
77419,2,NULL,1
77460,2,90.0,1
77488,1,NULL,1
77489,9,911.25,3
77490,8,1025.25,4
77491,4,1017.97003174,2
77492,5,945.0,2
77493,4,1272.0,2
77501,5,435.0,3
77502,2,NULL,1
77506,12,2195.2199707,6
77520,6,NULL,3
77529,6,406.25,3
77584,4,240.0,2
77600,3,300.0,1
77622,3,258.75,1
77653,8,280.0,4
77670,2,NULL,1
77685,21,1167.39001465,10
77686,10,359.940002441,5
77694,7,209.970001221,3
77706,1,80.0,1
77810,1,99.0,1
77926,6,324.0,2
77936,1,NULL,1
78021,3,288.0,1
78077,3,90.0,1
78111,5,250.0,4
78128,2,NULL,1
78148,2,NULL,1
78206,5,160.86000061,3
78238,1,NULL,1
78425,1,NULL,1
78475,1,30.0,1
78670,1,NULL,1
78721,3,NULL,2
78755,2,NULL,1
78758,3,149.970001221,1
78785,2,70.0,1
78809,2,NULL,1
78860,4,60.8999977112,2
78899,2,NULL,2
78902,7,NULL,5
78922,1,NULL,1
78942,2,138.0,1
78966,6,NULL,3
78987,2,NULL,1
79018,2,150.0,1
79028,3,210.0,1
79055,3,213.75,1
79056,11,820.0,6
79057,14,643.719970703,6
79064,4,1750.0,2
79066,2,NULL,1
79069,3,292.5,1
79077,3,480.0,1
79097,3,51.0,1
79127,1,NULL,1
79212,3,1305.0,1
79215,2,658.0,1
79232,2,NULL,1
79282,2,NULL,1
79284,2,NULL,1
79361,12,1121.0,5
79366,30,1857.5,16
79370,6,220.0,2
79389,3,417.0,1
79455,1,NULL,1
79515,2,220.0,1
79528,6,NULL,3
79538,2,NULL,2
79546,3,382.470001221,1
79576,7,575.0,4
79636,3,238.0,2
79736,2,98.0,1
80353,2,NULL,1
80375,2,NULL,1
80528,3,419.699981689,1
80698,5,268.5,2
80701,1,NULL,1
80707,8,417.0,4
80712,7,894.0,4
80737,2,114.0,1
80919,1,NULL,1
80924,2,NULL,1
80926,11,2547.68994141,4
80942,2,220.0,1
80943,5,450.0,2
80951,4,280.0,2
80989,3,337.470001221,1
81053,4,137.700012207,2
81237,2,390.0,1
81448,4,211.63999939,2
81521,1,NULL,1
81532,2,NULL,1
81645,3,119.970001221,1
81650,1,139.0,1
81651,6,640.0,3
81663,3,427.260009766,1
81666,9,675.0,2
81667,3,225.0,2
81675,3,225.0,1
81821,3,269.970001221,1
81824,18,2819.37011719,7
81942,2,178.0,1
81955,1,109.0,1
82001,1,120.0,1
82004,2,NULL,1
82059,4,359.970001221,2
82080,2,370.0,1
82575,6,269.700012207,3
82580,1,NULL,1
82667,4,NULL,1
82715,2,90.0,1
82720,2,NULL,1
82735,3,NULL,2
82738,2,178.0,1
82739,3,264.0,1
82784,2,NULL,1
82806,5,445.0,2
82808,2,258.0,1
82813,24,1051.51000977,11
82816,3,260.940002441,1
82817,6,147.0,3
82818,1,59.0,1
82831,2,NULL,1
82835,3,435.0,1
82836,3,402.300018311,1
82842,3,477.0,1
82844,5,1036.0,3
82853,2,NULL,1
82855,1,NULL,1
82867,5,3489.0,2
82869,11,1181.25,6
82872,2,578.0,1
82943,4,390.0,2
82959,5,2062.0,3
83003,3,191.220001221,1
83009,5,731.539978027,2
83011,2,NULL,1
83020,6,209.970001221,3
83146,2,NULL,1
83156,2,NULL,1
83173,1,24.0,1
83175,5,113.970001221,2
83184,1,NULL,1
83266,2,NULL,1
83293,5,930.0,2
83366,4,269.760009766,2
83377,2,NULL,1
83384,7,598.75,3
83385,1,NULL,1
83394,3,NULL,2
83401,3,224.759994507,1
83404,4,247.259994507,2
83412,4,209.970001221,2
83588,2,NULL,2
83605,7,113.700004578,3
83614,3,90.9599990845,1
83617,2,NULL,1
83625,3,74.6999969482,1
83632,8,1074.0,3
83651,8,850.5,3
83660,5,582.75,2
83697,5,3920.0,2
83716,2,NULL,1
83754,5,195.0,2
83770,1,NULL,1
83809,2,2676.0,1
83810,3,445.5,1
83903,28,4322.39990234,12
83950,1,NULL,1
84046,1,169.0,1
84051,3,405.0,1
84156,1,NULL,1
84157,2,45.0,2
84198,3,224.759994507,1
84219,2,NULL,1
84230,3,179.700012207,1
84248,2,NULL,1
84252,2,NULL,1
84254,3,225.0,1
84322,2,178.0,1
84328,5,466.019989014,2
84330,3,552.0,1
84353,4,1087.0,2
84356,15,2730.0,8
84358,21,2232.75,9
84360,2,450.0,1
84367,1,200.0,1
84369,3,552.0,1
84370,4,320.0,2
84371,3,285.0,1
84372,2,240.0,1
84534,1,149.0,1
84535,8,553.75,4
84537,3,562.5,1
84581,1,660.0,1
84588,2,890.0,1
84610,1,NULL,1
84855,1,NULL,1
84870,3,75.0,2
84908,9,4695.75,3
84970,2,NULL,1
85033,2,NULL,1
85034,2,NULL,1
85038,1,NULL,1
85111,4,224.700012207,2
85160,1,NULL,1
85166,5,303.75,2
85181,3,292.260009766,1
85183,3,509.699981689,1
85189,7,357.5,3
85251,1,NULL,1
85288,3,359.970001221,1
85293,17,1147.77001953,9
85298,1,87.0,1
85307,2,NULL,1
85309,7,704.0,3
85346,8,787.5,3
85358,4,404.099975586,2
85366,7,239.970001221,4
85391,1,139.0,1
85398,2,258.0,1
85400,15,859.25,8
85401,5,290.25,2
85402,12,1215.5,6
85403,1,NULL,1
85405,3,135.0,2
85419,25,1041.25,12
85420,14,773.5,6
85429,3,67.1999969482,1
85475,3,79.0,2
85477,3,198.0,2
85478,5,1089.0,2
85486,3,333.599975586,1
85495,2,NULL,1
85541,3,130.0,2
85542,4,177.0,2
86210,22,2467.5,9
86220,1,160.0,1
86225,3,200.0,3
86228,1,NULL,1
86268,2,NULL,1
86523,8,464.25,4
86590,2,NULL,1
86598,13,1205.0,3
86603,2,NULL,1
86606,8,495.0,2
86614,1,110.0,1
86615,7,630.0,3
86630,4,NULL,2
86648,3,NULL,2
86652,3,220.5,1
86656,1,119.0,1
86667,9,299.700012207,5
86668,5,545.0,2
86670,3,224.759994507,1
86671,3,224.759994507,1
87564,2,130.0,1
87602,3,240.0,2
87771,2,130.0,1
87775,3,109.0,2
87791,2,NULL,1
87797,11,580.5,5
87802,5,258.0,4
